hand_side,orientation,index_angle,middle_angle,ring_angle,thumb_index_distance,ball_thumb_distance,ball_index_distance,ball_middle_distance,ball_ring_distance,wrist_angle,wrist_rotation_angle,thumb_angle,index_curl,middle_curl,ring_curl,pinky_curl,index_middle_distance,middle_ring_distance,ring_pinky_distance,ball_index_mcp_distance,ball_middle_mcp_distance,ball_ring_mcp_distance,ball_coverage_ratio,label
RIGHT,PALM,111.83,96.31,89.34,0.4894,0.4129,0.2074,0.175,0.4283,83.44,-95.31,178.96,111.83,96.31,89.34,91.58,0.2824,0.3661,0.1081,0.4111,0.484,0.516,0.1912,inswing
RIGHT,PALM,112.19,97.24,89.86,0.4837,0.402,0.2023,0.1516,0.426,83.95,-94.8,179.59,112.19,97.24,89.86,91.5,0.2403,0.4038,0.1137,0.418,0.4919,0.5252,0.177,inswing
RIGHT,PALM,112.27,94.95,89.68,0.4785,0.4216,0.2005,0.1821,0.4412,84.24,-94.44,179.95,112.27,94.95,89.68,90.89,0.2625,0.3825,0.1133,0.3983,0.4723,0.506,0.1913,inswing
RIGHT,PALM,119.98,99.22,89.42,0.4863,0.4241,0.2235,0.1868,0.4545,83.12,-94.59,178.76,119.98,99.22,89.42,89.34,0.25,0.4209,0.1104,0.4193,0.4826,0.4986,0.2052,inswing
RIGHT,PALM,132.16,98.66,85.96,0.5892,0.4727,0.2578,0.236,0.4965,82.13,-94.69,175.61,132.16,98.66,85.96,84.53,0.3614,0.4068,0.1024,0.4119,0.4641,0.4734,0.2469,inswing
RIGHT,PALM,135.53,95.04,82.37,0.6612,0.4308,0.3333,0.2369,0.4953,80.77,-95.2,173.27,135.53,95.04,82.37,82.65,0.4783,0.3869,0.0804,0.4251,0.472,0.474,0.2851,inswing
RIGHT,BACK,129.23,124.6,74.22,0.4137,0.1656,0.3283,0.313,0.6358,74.81,-98.99,174.75,129.23,124.6,74.22,68.99,0.1502,0.8705,0.1389,0.5557,0.5909,0.6091,0.3206,inswing
RIGHT,BACK,131.46,136.05,41.59,0.5046,0.0398,0.5088,0.4702,0.6628,69.69,-101.51,178.97,131.46,136.05,41.59,23.03,0.1811,1.1238,0.2005,0.8528,0.8394,0.8397,0.4895,inswing
RIGHT,BACK,133.8,149.34,7.25,0.5012,0.0916,0.4103,0.3798,0.7093,85.58,-84.83,177.97,133.8,149.34,7.25,19.41,0.2989,1.0113,0.3368,0.9131,0.9521,1.0866,0.395,inswing
RIGHT,BACK,132.73,152.15,22.29,0.4523,0.1145,0.434,0.3507,0.5087,88.46,-82.8,176.61,132.73,152.15,22.29,29.28,0.2784,0.8469,0.3563,0.8812,0.8844,0.9869,0.3923,inswing
RIGHT,BACK,141.17,148.97,36.89,0.5215,0.0468,0.5215,0.4608,0.5959,81.09,-90.31,177.16,141.17,148.97,36.89,14.12,0.228,0.9811,0.1706,0.6776,0.6246,0.6801,0.4912,inswing
RIGHT,BACK,143.66,153.68,39.9,0.5397,0.0505,0.5595,0.4542,0.5803,80.94,-90.38,176.66,143.66,153.68,39.9,15.96,0.2419,1.021,0.1761,0.806,0.7275,0.7407,0.5069,inswing
RIGHT,BACK,131.94,148.54,42.58,0.469,0.0448,0.5056,0.4835,0.5686,80.09,-91.31,176.25,131.94,148.54,42.58,19.32,0.2307,1.0381,0.1787,0.8023,0.708,0.7056,0.4945,inswing
RIGHT,BACK,113.35,139.09,40.41,0.384,0.0625,0.3894,0.4123,0.5849,79.52,-92.42,177.89,113.35,139.09,40.41,21.88,0.2376,0.9932,0.1665,0.7938,0.688,0.6701,0.4009,inswing
RIGHT,BACK,83.62,99.75,40.98,0.2849,0.072,0.3145,0.2991,0.56,79.19,-93.21,177.97,83.62,99.75,40.98,25.31,0.2324,0.8578,0.1472,0.746,0.6169,0.5787,0.3068,inswing
RIGHT,BACK,84.23,90.36,41.89,0.2832,0.0944,0.3381,0.2962,0.5348,79.43,-92.99,176.79,84.23,90.36,41.89,27.18,0.2112,0.8308,0.1452,0.737,0.6007,0.5487,0.3171,inswing
RIGHT,BACK,84.64,100.07,42.23,0.2972,0.0676,0.2939,0.2945,0.5663,80.01,-92.66,176.09,84.64,100.07,42.23,27.44,0.2306,0.856,0.1444,0.6997,0.5696,0.5374,0.2942,inswing
RIGHT,BACK,89.06,115.68,41.98,0.3045,0.0765,0.3137,0.3301,0.5815,79.12,-93.73,175.92,89.06,115.68,41.98,27.41,0.2632,0.9098,0.1483,0.731,0.5987,0.5578,0.3219,inswing
RIGHT,BACK,97.05,126.64,44.32,0.3094,0.0659,0.3314,0.3726,0.5683,78.53,-94.44,176.7,97.05,126.64,44.32,30.25,0.2761,0.9364,0.1497,0.7156,0.586,0.5422,0.352,inswing
RIGHT,BACK,100.64,129.19,46.37,0.3126,0.0477,0.3322,0.3825,0.5687,78.26,-94.75,176.52,100.64,129.19,46.37,34.15,0.2787,0.9419,0.1522,0.7001,0.5709,0.5261,0.3574,inswing
RIGHT,BACK,99.2,128.99,47.68,0.2977,0.0395,0.3245,0.3788,0.5683,77.8,-95.29,174.97,99.2,128.99,47.68,37.43,0.2818,0.9368,0.1503,0.6921,0.5649,0.5152,0.3517,inswing
RIGHT,BACK,100.02,126.82,47.15,0.286,0.0594,0.3417,0.3693,0.566,77.06,-96.05,173.71,100.02,126.82,47.15,39.81,0.2692,0.9298,0.1458,0.6931,0.564,0.5011,0.3555,inswing
RIGHT,BACK,102.69,127.61,48.42,0.2885,0.065,0.3521,0.3722,0.572,76.43,-96.73,173.88,102.69,127.61,48.42,44.3,0.2632,0.9407,0.1397,0.6915,0.5623,0.4906,0.3621,inswing
RIGHT,BACK,101.53,126.88,45.02,0.2674,0.1468,0.3886,0.4468,0.4859,75.92,-97.04,175.8,101.53,126.88,45.02,41.38,0.2509,0.9208,0.1456,0.6136,0.4793,0.3955,0.4177,inswing
RIGHT,BACK,98.45,127.09,41.44,0.2599,0.1197,0.3566,0.4148,0.4963,77.56,-94.85,178.57,98.45,127.09,41.44,28.28,0.219,0.8972,0.159,0.6647,0.5457,0.4937,0.3857,inswing
RIGHT,BACK,92.98,125.58,37.13,0.2682,0.0923,0.3518,0.4016,0.5295,77.92,-94.42,179.39,92.98,125.58,37.13,22.66,0.2432,0.9249,0.1592,0.7125,0.59,0.542,0.3767,inswing
RIGHT,BACK,100.38,113.36,34.99,0.3184,0.064,0.3238,0.2844,0.5138,82.82,-89.94,175.56,100.38,113.36,34.99,20.62,0.1918,0.7913,0.1681,0.6826,0.56,0.5447,0.3041,inswing
RIGHT,BACK,97.95,98.52,30.68,0.3333,0.1094,0.237,0.2248,0.5484,85.45,-87.69,174.47,97.95,98.52,30.68,14.33,0.1835,0.7289,0.163,0.5793,0.4815,0.5298,0.2309,inswing
RIGHT,BACK,92.91,85.02,27.14,0.326,0.1852,0.1665,0.1452,0.6152,85.25,-88.36,174.2,92.91,85.02,27.14,12.45,0.1779,0.7218,0.1743,0.6024,0.5023,0.5537,0.1559,inswing
RIGHT,BACK,81.61,62.59,31.18,0.3289,0.1874,0.2632,0.1553,0.5353,85.83,-88.02,169.92,81.61,62.59,31.18,20.97,0.1857,0.6906,0.1913,0.6053,0.4412,0.4391,0.2093,inswing
RIGHT,BACK,79.22,46.35,24.74,0.3405,0.1397,0.229,0.1556,0.5216,87.07,-86.87,168.8,79.22,46.35,24.74,13.03,0.1978,0.6387,0.1948,0.4961,0.3531,0.4155,0.1923,inswing
RIGHT,BACK,85.27,60.34,23.48,0.3357,0.1386,0.2236,0.1829,0.5322,86.74,-87.04,168.31,85.27,60.34,23.48,11.17,0.1839,0.6794,0.193,0.512,0.3822,0.4449,0.2033,inswing
RIGHT,BACK,90.44,77.94,21.99,0.3242,0.1973,0.1948,0.1384,0.5723,86.59,-86.95,168.49,90.44,77.94,21.99,8.54,0.1868,0.6929,0.1914,0.5924,0.4802,0.5281,0.1666,inswing
RIGHT,BACK,75.82,43.93,22.44,0.3383,0.2033,0.2263,0.1024,0.5314,87.34,-86.44,165.18,75.82,43.93,22.44,8.34,0.1927,0.6296,0.1857,0.5576,0.4125,0.45,0.1643,inswing
RIGHT,BACK,68.14,30.19,24.1,0.3721,0.2388,0.1799,0.0635,0.5718,88.22,-85.57,162.93,68.14,30.19,24.1,7.46,0.2207,0.5737,0.1682,0.5023,0.3751,0.4496,0.1217,inswing
RIGHT,BACK,70.33,33.28,23.04,0.3495,0.251,0.1694,0.0473,0.5884,87.96,-85.89,161.26,70.33,33.28,23.04,7.75,0.2104,0.5794,0.176,0.5425,0.4258,0.4909,0.1084,inswing
RIGHT,BACK,73.7,32.81,27.13,0.3652,0.2367,0.1763,0.063,0.5771,88.36,-85.64,160.2,73.7,32.81,27.13,12.26,0.2111,0.5851,0.1746,0.5073,0.3831,0.4516,0.1197,inswing
RIGHT,BACK,71.84,32.07,26.53,0.3452,0.2212,0.1638,0.0695,0.5797,88.36,-85.71,162.55,71.84,32.07,26.53,10.58,0.1977,0.5927,0.1722,0.5007,0.3747,0.449,0.1166,inswing
RIGHT,BACK,16.03,13.54,31.55,0.1261,0.1437,0.1925,0.1218,0.3078,87.89,-84.11,171.92,16.03,13.54,31.55,47.7,0.1821,0.3431,0.2091,0.2859,0.3318,0.5214,0.1572,inswing
RIGHT,BACK,6.72,18.57,35.35,0.1394,0.2334,0.2649,0.0972,0.2318,87.21,-83.88,171.61,6.72,18.57,35.35,49.21,0.1935,0.3243,0.2249,0.2925,0.2861,0.459,0.1811,inswing
RIGHT,BACK,25.63,31.2,41.07,0.0925,0.2638,0.2533,0.1745,0.3363,83.38,-80.51,173.44,25.63,31.2,41.07,48.22,0.2222,0.3826,0.2553,0.2691,0.4135,0.6226,0.2139,inswing
RIGHT,BACK,10.24,12.93,33.27,0.1415,0.0234,0.1596,0.164,0.3689,86.62,-82.89,164.9,10.24,12.93,33.27,46.17,0.1963,0.3646,0.1966,0.3003,0.3891,0.5886,0.1618,inswing
RIGHT,BACK,131.44,52.23,43.47,0.1938,0.2609,0.397,0.2508,0.2738,84.48,-81.64,170.37,131.44,52.23,43.47,48.88,0.2451,0.3769,0.272,0.2649,0.4019,0.6071,0.3239,inswing
RIGHT,BACK,148.19,81.26,60.39,0.2472,0.266,0.4461,0.2877,0.2368,83.53,-80.91,171.76,148.19,81.26,60.39,60.83,0.2406,0.3525,0.3145,0.2868,0.4395,0.642,0.3669,inswing
RIGHT,BACK,72.19,70.25,32.12,0.3045,0.1327,0.1718,0.2355,0.5674,87.28,-81.08,162.7,72.19,70.25,32.12,15.34,0.2003,0.7319,0.1643,0.4591,0.3482,0.4262,0.2037,inswing
RIGHT,BACK,79.8,45.43,33.91,0.3679,0.1727,0.1985,0.1183,0.5991,89.52,-83.25,164.85,79.8,45.43,33.91,21.33,0.201,0.6512,0.1741,0.5077,0.3876,0.4518,0.1584,inswing
RIGHT,BACK,91.47,53.76,35.95,0.3977,0.1664,0.2314,0.1496,0.6111,89.99,-83.58,165.93,91.47,53.76,35.95,25.25,0.205,0.6876,0.1695,0.5159,0.4013,0.4589,0.1905,inswing
RIGHT,BACK,104.27,59.78,39.08,0.4073,0.1227,0.3291,0.1349,0.5547,89.31,-84.23,167.57,104.27,59.78,39.08,31.84,0.2143,0.6896,0.1702,0.6081,0.4629,0.4424,0.232,inswing
RIGHT,BACK,114.03,82.38,41.41,0.4134,0.0792,0.3648,0.1984,0.5612,87.69,-85.7,168.87,114.03,82.38,41.41,35.11,0.2009,0.7594,0.1692,0.6176,0.4829,0.4575,0.2816,inswing
RIGHT,BACK,127.18,123.74,43.3,0.4312,0.0417,0.394,0.2829,0.5951,85.47,-87.65,169.79,127.18,123.74,43.3,37.04,0.1733,0.8769,0.1607,0.6411,0.5256,0.5019,0.3384,inswing
RIGHT,BACK,131.04,129.69,41.2,0.4434,0.0386,0.4174,0.329,0.577,84.71,-88.29,170.18,131.04,129.69,41.2,38.33,0.1776,0.904,0.173,0.6419,0.5237,0.4915,0.3732,inswing
RIGHT,BACK,126.84,127.88,39.68,0.4127,0.0444,0.3735,0.3249,0.5862,83.54,-89.36,169.24,126.84,127.88,39.68,32.22,0.1963,0.903,0.1562,0.646,0.5373,0.5166,0.3492,inswing
RIGHT,BACK,168.48,176.23,36.89,0.5817,0.0223,0.5632,0.5828,0.397,76.86,-98.25,163.5,168.48,176.23,36.89,53.06,0.2549,0.7912,0.1904,0.3955,0.4379,0.6322,0.573,inswing
RIGHT,BACK,173.3,179.7,40.86,0.5526,0.0518,0.5659,0.7067,0.3114,75.06,-100.07,172.46,173.3,179.7,40.86,56.09,0.2896,0.8366,0.2254,0.3841,0.4103,0.5977,0.6363,inswing
RIGHT,BACK,172.0,178.97,43.82,0.5941,0.0853,0.515,0.6268,0.3699,74.16,-100.57,169.43,172.0,178.97,43.82,59.45,0.2741,0.6404,0.3311,0.4258,0.4481,0.6385,0.5709,inswing
RIGHT,BACK,173.06,179.01,29.52,0.7801,0.1612,0.636,0.7166,0.3773,72.9,-101.33,165.89,173.06,179.01,29.52,46.63,0.2881,0.895,0.2068,0.3992,0.3904,0.5761,0.6763,inswing
RIGHT,BACK,166.89,179.26,27.18,0.5575,0.0927,0.4847,0.7192,0.401,71.65,-103.02,177.02,166.89,179.26,27.18,42.84,0.3107,0.9287,0.1706,0.4075,0.4002,0.5762,0.602,inswing
RIGHT,BACK,168.34,178.03,28.69,0.5777,0.0744,0.5403,0.8416,0.3378,71.24,-103.3,175.49,168.34,178.03,28.69,46.09,0.3726,1.0035,0.1722,0.3948,0.3695,0.541,0.691,inswing
RIGHT,BACK,15.7,0.24,17.76,0.1225,0.0636,0.1472,0.1978,0.3101,79.72,-95.26,175.42,15.7,0.24,17.76,50.5,0.1584,0.2748,0.1935,0.0873,0.1661,0.3754,0.1725,inswing
RIGHT,BACK,3.35,15.07,32.28,0.1833,0.0383,0.2207,0.3013,0.467,76.16,-99.54,179.49,3.35,15.07,32.28,46.86,0.1809,0.345,0.1561,0.2104,0.3806,0.5799,0.261,inswing
RIGHT,BACK,173.23,93.35,59.57,0.479,0.1241,0.5521,0.375,0.358,77.7,-99.38,179.62,173.23,93.35,59.57,58.92,0.22,0.5533,0.1911,0.2663,0.4407,0.6277,0.4635,inswing
RIGHT,BACK,160.93,110.19,68.1,0.3877,0.1486,0.508,0.4277,0.345,78.24,-99.15,179.34,160.93,110.19,68.1,67.81,0.145,0.5947,0.1916,0.277,0.4632,0.6472,0.4679,inswing
RIGHT,BACK,159.98,119.31,69.74,0.3942,0.1356,0.506,0.4586,0.3605,78.56,-99.0,179.82,159.98,119.31,69.74,71.04,0.1287,0.6361,0.1925,0.2961,0.4861,0.669,0.4823,inswing
RIGHT,BACK,165.09,132.75,103.64,0.4485,0.165,0.5743,0.5243,0.4255,81.26,-96.42,175.59,165.09,132.75,103.64,92.13,0.1554,0.3526,0.2964,0.3316,0.5132,0.6983,0.5493,inswing
RIGHT,BACK,167.99,137.33,98.11,0.4448,0.1606,0.5629,0.5242,0.3627,80.68,-96.9,175.78,167.99,137.33,98.11,93.27,0.1358,0.3854,0.2837,0.3216,0.5012,0.6865,0.5436,inswing
RIGHT,BACK,163.62,129.29,93.44,0.4079,0.1461,0.5141,0.4699,0.3273,80.48,-97.13,174.84,163.62,129.29,93.44,91.72,0.1368,0.3733,0.2826,0.3217,0.4962,0.6803,0.492,inswing
RIGHT,BACK,151.57,114.31,83.36,0.3898,0.1514,0.5332,0.4795,0.3204,81.64,-96.83,176.63,151.57,114.31,83.36,84.92,0.1366,0.4758,0.2161,0.3497,0.5559,0.729,0.5064,inswing
RIGHT,BACK,9.67,21.3,34.6,0.1593,0.1279,0.2355,0.2721,0.4209,80.37,-95.66,176.2,9.67,21.3,34.6,49.9,0.1922,0.3188,0.1757,0.191,0.3791,0.5785,0.2538,inswing
RIGHT,BACK,168.62,71.38,44.02,0.5812,0.2925,0.5933,0.3252,0.2349,86.77,-89.42,162.77,168.62,71.38,44.02,44.72,0.2692,0.4792,0.2211,0.4276,0.3212,0.4183,0.4592,inswing
RIGHT,BACK,146.03,54.66,39.01,0.5351,0.2936,0.5561,0.3203,0.2328,86.22,-89.82,160.38,146.03,54.66,39.01,40.55,0.2448,0.4615,0.2148,0.4449,0.32,0.4034,0.4382,inswing
RIGHT,BACK,160.99,52.54,38.52,0.5491,0.2868,0.5593,0.3052,0.2286,85.97,-89.99,160.76,160.99,52.54,38.52,40.49,0.2592,0.456,0.22,0.449,0.3268,0.413,0.4322,inswing
RIGHT,BACK,175.16,94.68,27.39,0.7735,0.1497,0.6242,0.3811,0.2977,86.61,-88.22,159.31,175.16,94.68,27.39,27.4,0.3363,0.6187,0.2319,0.3217,0.3022,0.4764,0.5026,inswing
RIGHT,BACK,173.61,81.86,27.62,0.8022,0.2808,0.6919,0.3431,0.3002,86.82,-87.83,159.37,173.61,81.86,27.62,27.48,0.3598,0.6147,0.2332,0.524,0.3905,0.4534,0.5175,inswing
RIGHT,BACK,131.05,123.31,128.91,0.3734,0.0748,0.4246,0.5029,0.4721,86.23,-94.81,177.19,131.05,123.31,128.91,117.74,0.1416,0.171,0.2972,0.4074,0.5917,0.7165,0.4637,inswing
RIGHT,BACK,118.8,116.9,118.85,0.346,0.0702,0.407,0.491,0.4208,86.0,-95.42,176.89,118.8,116.9,118.85,102.94,0.1351,0.1854,0.2805,0.4293,0.6217,0.7451,0.449,inswing
RIGHT,BACK,163.16,147.06,7.92,0.7651,0.1805,0.592,0.329,0.3612,83.13,-90.99,160.09,163.16,147.06,7.92,13.78,0.3188,0.6675,0.2178,0.4459,0.3514,0.4476,0.4605,inswing
RIGHT,BACK,165.2,163.59,11.25,0.7772,0.2163,0.6466,0.4553,0.2566,82.15,-91.83,159.71,165.2,163.59,11.25,19.93,0.2527,0.7101,0.2035,0.5127,0.3699,0.3986,0.5509,inswing
RIGHT,BACK,9.38,2.15,14.2,0.2085,0.1659,0.1708,0.0933,0.4303,81.81,-92.57,166.92,9.38,2.15,14.2,165.1,0.1738,0.3381,0.3571,0.3715,0.3527,0.4944,0.132,inswing
RIGHT,BACK,11.1,4.48,17.86,0.2239,0.1622,0.0792,0.1191,0.3151,80.4,-94.1,166.88,11.1,4.48,17.86,2.19,0.1621,0.3227,0.3085,0.2277,0.2318,0.407,0.0992,inswing
RIGHT,BACK,19.76,1.11,18.96,0.2331,0.1917,0.1757,0.1098,0.4623,77.3,-97.25,168.15,19.76,1.11,18.96,31.23,0.1698,0.3526,0.1828,0.4773,0.4334,0.5513,0.1427,inswing
RIGHT,BACK,161.55,176.46,18.95,0.4274,0.0585,0.4283,0.5063,0.2924,83.98,-91.03,170.2,161.55,176.46,18.95,23.21,0.2228,0.7314,0.2183,0.3267,0.2805,0.4338,0.4673,inswing
RIGHT,BACK,172.71,178.62,37.26,0.449,0.0192,0.4547,0.5033,0.2867,84.86,-90.12,176.47,172.71,178.62,37.26,37.83,0.2279,0.6017,0.2867,0.2992,0.3421,0.5258,0.479,inswing
RIGHT,BACK,172.16,178.14,40.05,0.5177,0.0925,0.4343,0.5294,0.3073,84.79,-90.1,172.05,172.16,178.14,40.05,39.8,0.2451,0.5792,0.2973,0.3033,0.3553,0.5422,0.4818,inswing
RIGHT,BACK,171.27,177.64,52.91,0.6271,0.0855,0.5426,0.6145,0.2598,84.35,-90.69,166.27,171.27,177.64,52.91,40.31,0.2625,0.5456,0.3689,0.3056,0.2789,0.4505,0.5785,inswing
RIGHT,BACK,175.17,178.75,31.44,0.6575,0.0387,0.62,0.653,0.2453,85.15,-89.64,167.63,175.17,178.75,31.44,33.56,0.2581,0.7817,0.2749,0.2928,0.293,0.4748,0.6365,inswing
RIGHT,BACK,177.01,179.79,30.78,0.7143,0.0086,0.706,0.7018,0.2632,85.11,-89.69,167.51,177.01,179.79,30.78,33.01,0.2705,0.8585,0.2677,0.2987,0.3035,0.4851,0.7039,inswing
RIGHT,BACK,176.57,177.29,26.6,0.7707,0.0535,0.7281,0.7835,0.306,84.67,-90.05,166.05,176.57,177.29,26.6,30.46,0.2943,0.9734,0.2378,0.3078,0.315,0.4955,0.7558,inswing
RIGHT,BACK,176.72,177.11,25.83,0.8025,0.061,0.7435,0.7949,0.3037,84.6,-90.07,166.06,176.72,177.11,25.83,30.18,0.2919,0.9895,0.2313,0.3145,0.3172,0.4946,0.7692,inswing
RIGHT,BACK,177.15,178.24,23.66,0.8418,0.1098,0.7339,0.7792,0.341,84.62,-90.04,165.0,177.15,178.24,23.66,28.6,0.2845,1.0264,0.2235,0.3511,0.3473,0.5165,0.7565,inswing
RIGHT,BACK,69.52,58.26,63.17,0.1158,0.1875,0.3006,0.2283,0.3146,88.89,-89.5,179.31,69.52,58.26,63.17,66.04,0.1953,0.2714,0.2081,0.2711,0.4788,0.6279,0.2644,inswing
RIGHT,BACK,77.27,64.84,66.67,0.1316,0.1889,0.3171,0.2395,0.2863,88.5,-90.58,176.89,77.27,64.84,66.67,71.91,0.1792,0.2831,0.2095,0.2667,0.4769,0.6201,0.2783,inswing
RIGHT,BACK,57.22,62.42,65.36,0.0425,0.1661,0.2001,0.2124,0.2851,88.57,-90.46,177.2,57.22,62.42,65.36,69.4,0.1428,0.2635,0.2078,0.2666,0.4738,0.6192,0.2062,inswing
RIGHT,BACK,76.69,75.79,73.57,0.1297,0.1668,0.2918,0.2858,0.2821,87.89,-91.3,174.84,76.69,75.79,73.57,76.47,0.1231,0.2842,0.2236,0.2829,0.4836,0.6225,0.2888,inswing
RIGHT,BACK,85.89,79.76,74.08,0.1494,0.174,0.318,0.2879,0.2596,87.49,-91.71,174.87,85.89,79.76,74.08,75.49,0.1257,0.31,0.2187,0.264,0.4635,0.6024,0.3029,inswing
RIGHT,BACK,114.65,94.69,83.23,0.2202,0.165,0.3789,0.3595,0.2817,87.26,-91.87,173.56,114.65,94.69,83.23,81.67,0.1305,0.332,0.2664,0.2837,0.4835,0.6251,0.3692,inswing
RIGHT,BACK,130.58,105.44,83.0,0.2853,0.1446,0.424,0.3948,0.3015,87.04,-91.91,174.19,130.58,105.44,83.0,82.5,0.1276,0.3944,0.2653,0.3096,0.5135,0.6605,0.4094,inswing
RIGHT,BACK,154.89,141.95,143.94,0.603,0.1421,0.535,0.5863,0.4916,88.15,-89.77,177.53,154.89,141.95,143.94,137.47,0.1263,0.1872,0.263,0.4874,0.6482,0.7482,0.5607,inswing
RIGHT,BACK,165.25,123.14,9.8,0.6673,0.2302,0.5953,0.2869,0.2632,72.01,-101.32,163.41,165.25,123.14,9.8,12.77,0.3296,0.5478,0.2104,0.5555,0.3929,0.407,0.4411,inswing
RIGHT,BACK,103.07,45.85,12.78,0.4047,0.2583,0.2014,0.0466,0.4312,74.56,-98.91,168.5,103.07,45.85,12.78,0.15,0.2003,0.4472,0.1839,0.6215,0.4571,0.4685,0.124,inswing
RIGHT,BACK,115.18,60.97,2.41,0.4188,0.1715,0.2891,0.1656,0.316,73.4,-100.18,165.63,115.18,60.97,2.41,12.36,0.1537,0.4774,0.193,0.5355,0.388,0.4276,0.2273,inswing
RIGHT,BACK,80.7,24.54,3.91,0.3075,0.2068,0.1955,0.0526,0.2818,73.07,-100.82,162.03,80.7,24.54,3.91,12.92,0.143,0.3284,0.1917,0.5321,0.3822,0.4172,0.124,inswing
RIGHT,BACK,90.75,22.37,5.96,0.3693,0.2354,0.2386,0.0516,0.2789,72.29,-101.54,159.41,90.75,22.37,5.96,14.9,0.187,0.324,0.1929,0.5319,0.3871,0.4259,0.1451,inswing
RIGHT,BACK,138.06,59.48,8.11,0.5052,0.2243,0.3554,0.1588,0.2526,71.78,-101.93,158.49,138.06,59.48,8.11,15.6,0.2186,0.4103,0.2024,0.531,0.3918,0.4285,0.2571,inswing
RIGHT,BACK,176.11,144.15,45.07,0.5746,0.0567,0.5311,0.4614,0.2811,84.88,-91.8,173.49,176.11,144.15,45.07,47.76,0.1727,0.6506,0.2764,0.3875,0.4628,0.6371,0.4963,inswing
RIGHT,BACK,175.0,137.93,43.26,0.5224,0.076,0.5369,0.4489,0.3168,84.68,-91.88,177.99,175.0,137.93,43.26,47.56,0.1848,0.6285,0.2709,0.3697,0.4678,0.6474,0.4929,inswing
RIGHT,BACK,174.75,140.68,46.25,0.4406,0.0377,0.4705,0.4082,0.3362,84.2,-92.3,179.64,174.75,140.68,46.25,50.12,0.1861,0.5912,0.2766,0.4173,0.5091,0.6838,0.4393,inswing
RIGHT,BACK,175.08,146.09,41.77,0.4941,0.053,0.4588,0.4187,0.3471,83.06,-93.05,175.25,175.08,146.09,41.77,46.77,0.1935,0.6372,0.2687,0.4187,0.4926,0.6664,0.4388,inswing
RIGHT,BACK,177.96,159.94,38.8,0.5424,0.0557,0.5106,0.5099,0.3359,81.65,-94.14,175.33,177.96,159.94,38.8,45.08,0.2127,0.6969,0.2555,0.3951,0.4602,0.6381,0.5103,inswing
RIGHT,BACK,177.19,157.46,39.25,0.5652,0.0547,0.5124,0.5068,0.2909,80.9,-94.85,174.29,177.19,157.46,39.25,43.47,0.2062,0.6896,0.2566,0.3836,0.4238,0.5969,0.5096,inswing
RIGHT,BACK,174.81,148.01,46.03,0.4978,0.0632,0.5021,0.4718,0.2216,81.84,-94.18,175.49,174.81,148.01,46.03,46.01,0.1891,0.6084,0.2887,0.3751,0.4024,0.5696,0.487,inswing
RIGHT,BACK,177.92,147.93,41.67,0.4527,0.2067,0.5751,0.4939,0.2313,83.1,-92.89,175.97,177.92,147.93,41.67,42.82,0.1804,0.6647,0.271,0.354,0.3845,0.5558,0.5345,inswing
RIGHT,BACK,176.81,151.61,39.83,0.5347,0.0633,0.5911,0.5055,0.2514,83.88,-92.04,172.76,176.81,151.61,39.83,44.06,0.1949,0.6915,0.2665,0.3591,0.3947,0.5667,0.5483,inswing
RIGHT,BACK,173.62,149.9,41.78,0.5102,0.1043,0.611,0.5272,0.1728,85.1,-91.28,174.15,173.62,149.9,41.78,48.78,0.1811,0.6841,0.2404,0.3346,0.3327,0.4919,0.5691,inswing
RIGHT,BACK,172.54,151.68,42.78,0.4531,0.1326,0.5363,0.5004,0.2434,86.14,-90.61,178.51,172.54,151.68,42.78,51.93,0.1692,0.6827,0.2437,0.3629,0.4126,0.5806,0.5183,inswing
RIGHT,BACK,171.73,150.57,42.69,0.4452,0.095,0.5126,0.5081,0.2917,87.07,-89.47,175.64,171.73,150.57,42.69,53.37,0.1709,0.702,0.2669,0.365,0.447,0.6307,0.5104,inswing
RIGHT,BACK,170.98,150.79,43.44,0.4438,0.0889,0.483,0.479,0.3078,87.29,-89.22,177.83,170.98,150.79,43.44,55.55,0.1751,0.6918,0.2785,0.4029,0.4808,0.6612,0.481,inswing
RIGHT,BACK,169.47,149.71,43.39,0.4505,0.075,0.4868,0.492,0.29,86.81,-89.72,176.33,169.47,149.71,43.39,53.29,0.1815,0.6851,0.2599,0.3835,0.46,0.6401,0.4894,inswing
RIGHT,BACK,171.58,149.57,42.89,0.4967,0.0245,0.4931,0.4818,0.2828,86.69,-89.8,174.41,171.58,149.57,42.89,53.65,0.1785,0.6719,0.2612,0.3799,0.4482,0.6258,0.4875,inswing
RIGHT,BACK,171.64,152.64,43.31,0.4607,0.086,0.4894,0.498,0.2856,86.75,-89.78,177.44,171.64,152.64,43.31,55.77,0.1866,0.6799,0.2633,0.3857,0.4565,0.6354,0.4937,inswing
RIGHT,BACK,171.36,150.58,42.31,0.4964,0.0389,0.5197,0.512,0.2841,86.4,-90.05,175.9,171.36,150.58,42.31,54.24,0.189,0.6724,0.2527,0.356,0.434,0.6158,0.5159,inswing
RIGHT,BACK,173.13,153.56,44.5,0.5278,0.0534,0.5169,0.4859,0.2828,85.74,-90.83,179.27,173.13,153.56,44.5,54.14,0.186,0.6514,0.2401,0.382,0.45,0.6239,0.5014,inswing
